code,name,score,address,latitude,longitude,borough
Q179,P.S. Q004,None,196-25 PECK AVENUE,40.7421485,-73.780731,OUEENS
Q721,P.S. Q016,None,41-15 104 STREET,40.748986,-73.860535,OUEENS
QAPM,P.S. Q023 @ Queens Children Center,None,74-03 COMMONWEALTH BOULEVARD,40.7551527,-73.7283954,OUEENS
Q177,P.S. Q177,None,56-37 188 STREET,40.7431599,-73.7874465,OUEENS
Q168,P.S. Q255,None,158-40 76 ROAD,40.724191,-73.80937,OUEENS
Q811,P.S. Q811,None,61-25 MARATHON PARKWAY,40.7566325,-73.7293752,OUEENS
R840,P.S. R037,None,15 FAIRFIELD STREET,40.564094,-74.151375,STATEN ISLAND
X012,P.S. X012 Lewis and Clark School,None,2555 TRATMAN AVENUE,40.8403311,-73.844184,BRONX
X184,P.S. X017,None,778 FOREST AVENUE,40.8189551,-73.9054918,BRONX
X034,P.S. X188,None,770 GROTE STREET,40.8506367,-73.8838632,BRONX
X886,P.S. X307 - Eames Place,None,124 EAMES PLACE,40.869135,-73.901843,BRONX
X722,P.S. X721 - Stephen McSweeney School,None,2697 WESTCHESTER AVENUE,40.842747,-73.8389856,BRONX
X084,P.S. X811,None,1434 LONGFELLOW AVENUE,40.830529,-73.886788,BRONX
M093,P.S./I.S.  210 - Twenty-first Century Academy for,None,501-503 WEST 152 STREET,40.8299413,-73.9446256,MANHATTAN
M271,P.S./I.S. 217 Roosevelt Island,None,645 MAIN STREET,40.7638438,-73.9482254,MANHATTAN
X235,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,None,1220 GERARD AVENUE,40.8356426,-73.9195808,BRONX
X136,P186X Walter J. Damrosch School,None,750 JENNINGS STREET,40.8318901,-73.8974354,BRONX
X991,Passages Academy,None,560 BROOK AVENUE,40.8152685,-73.9136415,BRONX
M918,Paula Hedbavny School,None,421 W 219TH ST,40.8717871,-73.9132819,MANHATTAN
X099,Peace and Diversity Academy,None,1180 REV. J.A. POLITE AVE.,40.827719,-73.8970008,BRONX
O308,Phoenix Academy,None,3151 STONEY STREET,33.0367451,-96.6701995,OUEENS
Q420,Preparatory Academy for Writers: A College Board S,None,143-10 SPRINGFIELD BOULEVARD,40.6678167,-73.7576226,OUEENS
M017,Professional Performing Arts High School,None,328 WEST  48 STREET,40.7615351,-73.9886547,MANHATTAN
M144,PS M242-Gwendolyn Powell Brown Computer School,None,134 WEST 122 STREET,40.8064246,-73.9482857,MANHATTAN
Q695,Queens Gateway to Health Sciences Secondary School,None,160-20 GOETHALS AVENUE,40.71855,-73.805991,OUEENS
Q774,Queens High School for the Sciences at  York Colle,None,94-50 159 STREET,40.7009286,-73.7983153,OUEENS
Q595,Queens Satellite High School for Opportunity,None,162-02 HILLSIDE AVENUE,40.708199,-73.799524,OUEENS
Q142,Queens Transition Center,None,142-10 LINDEN BOULEVARD,40.6842065,-73.8012285,OUEENS
M834,Restart - Citywide,None,448 WEST 56 STREET,40.7682345,-73.9885837,MANHATTAN
M066,Richard R. Green High School of Teaching,None,421 EAST  88 STREET,40.7778793,-73.9473081,MANHATTAN
Q707,Robert F. Kennedy Community High School,None,75-40 PARSONS BOULEVARD,40.7252991,-73.810707,OUEENS
M920,Satellite Academy High School,None,120 WEST  30 STREET,40.747421,-73.990565,MANHATTAN
Q180,Scholars' Academy,None,320 BEACH 104TH STREET,40.5841107,-73.8257036,OUEENS
K293,School for International Studies,None,284 BALTIC STREET,40.6853525,-73.9937249,BROOKLYN
X113,School of Diplomacy,None,3710 BARNES AVENUE,40.880634,-73.860155,BRONX
M660,School of the Future High School,None,127 EAST  22 STREET,40.7390867,-73.9853658,MANHATTAN
K465,Science Technology and Research Early College Hig,None,911 FLATBUSH AVENUE,40.6494997,-73.9581617,BROOKLYN
K825,South Brooklyn Community High School,None,173 CONOVER STREET,40.6778434,-74.0141749,BROOKLYN
M932,Special Music School,None,129 WEST  67 STREET,40.7752368,-73.9830916,MANHATTAN
M477,Stuyvesant High School,None,345 CHAMBERS STREET,40.7180139,-74.0138939,MANHATTAN
Q891,Suspension Center,None,47-07 30 PLACE,40.7426365,-73.9363655,OUEENS
X988,Suspension Center School - Aya Academy [HS],None,1231 LAFAYETTE AVENUE,40.8166578,-73.8907469,BRONX
K932,Suspension Center School - Belmont Academy [HS],None,619 BELMONT AVENUE,40.6719806,-73.8865387,BROOKLYN
M813,Suspension Center School - Manhattan Middle School,None,51 Astor Place,40.729898,-73.9901801,MANHATTAN
K799,Suspension Center School - Sankofa Academy [MS],None,271 MELROSE STREET,40.7023269,-73.929691,BROOKLYN
Q859,Suspension Center School – S.T.E.P.S. Academy [HS],None,30-48 LINDEN PLACE,40.7696513,-73.8327072,OUEENS
XAJF,Suspension Middle School – Lafayette Academy [MS],None,1201 LAFAYETTE AVENUE,40.8172799,-73.890922,BRONX
X435,T. Roosevelt Evening Hs T/R,None,500 EAST FORDHAM ROAD,40.8595423,-73.8885964,BRONX
K175,Teachers Preparatory High School,None,226 BRISTOL STREET,40.6657215,-73.9116714,BROOKLYN
Q003,The Academy for Excellence through the Arts,None,108-55 69 AVENUE,40.7256257,-73.844035,OUEENS
X060,The Academy of the Arts,None,888 REV J A POLITE AVE,40.8220376,-73.8989043,BRONX
X137,The Angelo Patri Middle School,None,2225 WEBSTER AVENUE,40.8546548,-73.8970362,BRONX
X362,The Bronxwood Preparatory Academy,None,921 EAST 228TH STREET,40.8879098,-73.8524877,BRONX
M061,The Children's Workshop School,None,610 EAST  12 STREET,40.7276766,-73.9780869,MANHATTAN
